"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17730862",-0.697134838540665,6.61849567403538,-3.1666470003643,0.0163164540240398,0.947085790391753,-4.20671346891146
"17615597",-0.696868586627934,8.08125669541971,-4.30975922573538,0.00373675196937862,0.947085790391753,-4.08226058885035
"17859649",-0.69636797092809,7.35510711676352,-3.33586446124167,0.012960295722252,0.947085790391753,-4.18433781697954
"17615632",0.695575335558411,5.00698438688977,3.63825101602474,0.00867601027037902,0.947085790391753,-4.14804197168803
"17673260",-0.694647055511536,5.94050521309068,-3.69934646611267,0.00801338390485195,0.947085790391753,-4.14125100962267
"17717861",0.694299021135497,3.74905325084903,3.28436431080049,0.013895360734229,0.947085790391753,-4.19098539969222
"17752111",-0.69410225322436,11.8798142792131,-3.02344761433912,0.0198869377294892,0.947085790391753,-4.22687199944746
"17682210",0.693910933836109,3.71262344054452,2.39291064438523,0.0488503725056801,0.947085790391753,-4.32952963951312
"17801611",0.692838811114869,6.11805227884174,2.4463762070925,0.0452047351857585,0.947085790391753,-4.31995040295763
"17603281",0.691719592428488,3.19024010570403,2.91940597034304,0.0229994848223988,0.947085790391753,-4.24224176311485
"17624523",-0.691577575258977,9.59621401664825,-3.5050487859077,0.010336709822153,0.947085790391753,-4.1634676538949
"17736690",-0.691577575258977,9.59621401664825,-3.5050487859077,0.010336709822153,0.947085790391753,-4.1634676538949
"17739042",-0.691577575258977,9.59621401664825,-3.5050487859077,0.010336709822153,0.947085790391753,-4.1634676538949
"17839395",-0.691577575258977,9.59621401664825,-3.5050487859077,0.010336709822153,0.947085790391753,-4.1634676538949
"17856988",-0.691577575258977,9.59621401664825,-3.5050487859077,0.010336709822153,0.947085790391753,-4.1634676538949
"17688796",0.690665123244161,6.54050740832179,3.11728256109148,0.0174630646697735,0.947085790391753,-4.21353387417541
"17778047",-0.690499647006079,4.34096837327955,-2.71963290368321,0.0305142798233423,0.947085790391753,-4.27349360743001
"17640073",-0.690249920995793,3.19612137351359,-2.91189140031391,0.0232434873428999,0.947085790391753,-4.24337576019366
"17727112",-0.690230413287336,11.6873064498924,-2.7600636516858,0.0288072481116682,0.947085790391753,-4.26698299021018
"17721066",-0.689186691947965,9.18345526351008,-3.18804615275663,0.0158447024261021,0.947085790391753,-4.20379847210752
"17606639",-0.687949848382792,6.02197659602811,-2.39898930100598,0.0484210778479766,0.947085790391753,-4.32843272044633
"17607169",0.687028666171281,6.25747505577164,2.73144021458779,0.0300050437595257,0.947085790391753,-4.27158250580263
"17690950",0.686186093152275,7.02595171946713,4.13963868223506,0.00459599257220897,0.947085790391753,-4.09719064791382
"17741945",0.686125942692303,6.86519099560896,3.05585280250996,0.0190115937124311,0.947085790391753,-4.22221004594598
"17740492",0.685764621970351,6.06093670776639,2.47777768916235,0.0431954609774088,0.947085790391753,-4.31439743320099
"17668323",0.685611922758731,8.85551067548865,3.43782186113764,0.0113031861480388,0.947085790391753,-4.1715856634702
"17796582",0.685075459258755,6.80764311620067,3.18076816328754,0.0160034864268132,0.947085790391753,-4.20478707131351
"17602161",0.684776997827916,4.83940860053976,2.55657814627508,0.0385499876882869,0.947085790391753,-4.30070488329744
"17796986",-0.684369923869897,3.76905615772581,-2.60403698262657,0.0360054345170715,0.947085790391753,-4.2926276777551
"17689820",0.68418551566368,9.10901242875053,2.9123181192117,0.0232295583019802,0.947085790391753,-4.24331127897272
"17765366",0.683326258949728,7.61291344898124,2.79203449865854,0.0275286122515819,0.947085790391753,-4.26190150339304
"17881533",-0.682740710967256,6.24554128102764,-2.82070985764533,0.0264326060381879,0.947085790391753,-4.2573939930446
"17776372",0.681493826764631,5.72004727803784,2.87521478125179,0.0244743912601587,0.947085790391753,-4.24895695609289
"17692749",0.681337099253695,5.610540749219,2.53492726730085,0.0397722642891666,0.947085790391753,-4.30443219103027
"17743150",0.68072873848454,7.36415485508869,2.96015852395695,0.021722709109611,0.947085790391753,-4.23614815194416
"17730371",0.680232229599477,5.62874426565926,4.74497962941141,0.00224396846319701,0.947085790391753,-4.0486233806017
"17607499",-0.68022464302227,3.82049235863371,-2.37824437558109,0.0499023216094753,0.947085790391753,-4.3321844207429
"17608917",-0.68022464302227,3.82049235863371,-2.37824437558109,0.0499023216094753,0.947085790391753,-4.3321844207429
"17622570",0.680192177929924,7.86682948845835,2.53379791266755,0.0398371144671526,0.947085790391753,-4.30462734182043
"17825498",-0.679371354176822,7.58235852530097,-4.80751232369365,0.00209013959999518,0.947085790391753,-4.04427651120718
"17718441",-0.679319479780244,5.83858927344146,-3.68388750993478,0.0081756746418089,0.947085790391753,-4.14295279195756
"17608327",0.678390663694816,2.9144297059249,3.53898417318518,0.00988316861584923,0.947085790391753,-4.15945549613239
"17881403",0.678300301388854,5.96078189212964,2.81514328064192,0.0266417111633033,0.947085790391753,-4.25826529873279
"17605593",-0.677977925532518,3.18873346312199,-2.56004812188078,0.0383577518417568,0.947085790391753,-4.30010997628858
"17690583",0.677732398641274,8.43383928998722,2.68611859859136,0.0320097145301497,0.947085790391753,-4.27896195613239
"17643059",0.677278270422503,9.70843894655963,2.74922900058826,0.0292546207378843,0.947085790391753,-4.26871845234919
"17822900",0.677025507840503,7.05888506913592,3.15650079533677,0.0165453703360587,0.947085790391753,-4.20810435445436
"17872518",0.676976221976006,6.68599914152581,2.57273590626048,0.0376632940060053,0.947085790391753,-4.29794054570393
"17872081",0.676709744681983,7.32114806149332,2.54277123322527,0.0393248581866201,0.947085790391753,-4.30307875170825
"17853817",0.676669605754396,7.67253778727961,2.84501019888876,0.0255398596218587,0.947085790391753,-4.2536113134988
"17688881",0.674921526256821,8.19397249448472,4.32443111612931,0.00367138905270464,0.947085790391753,-4.08102286573187
"17605721",-0.67487296953747,5.08870252527454,-2.47769667049059,0.0432005246415412,0.947085790391753,-4.3144116900712
"17600129",0.674825434748768,6.18177135618973,2.82522706700595,0.0262641927543142,0.947085790391753,-4.25668825243664
"17756057",0.674799180656535,6.65442196417458,2.45650646982884,0.0445461993475014,0.947085790391753,-4.31815303326785
"17602005",-0.674380305847613,5.03639350584231,-2.83075675360996,0.0260595720498302,0.947085790391753,-4.25582593013955
"17853262",-0.674114694363539,6.18707369233985,-3.18714113261085,0.0158643549775105,0.947085790391753,-4.20392124726896
"17606909",0.673843901061979,5.11335117967921,2.51859944037699,0.0407205959581239,0.947085790391753,-4.30726060521391
"17832505",-0.673687340571621,4.65095927330402,-2.94697445317882,0.0221273285975317,0.947085790391753,-4.23810915515253
"17699417",0.673653777130933,7.19576970001746,2.39691953139504,0.0485668147855853,0.947085790391753,-4.32880599505387
"17644862",0.67363020423342,7.24075486155455,2.89710586042873,0.0237316275551563,0.947085790391753,-4.24561643778062
"17680284",0.673607449493275,8.677383016189,3.2992664199735,0.013617538131282,0.947085790391753,-4.18904742458331
"17602307",-0.67131146778854,6.14157557385777,-2.62125280972504,0.035126189067483,0.947085790391753,-4.28972939968124
"17609611",-0.671107647456851,6.27442377746244,-2.63289892648161,0.0345441255947058,0.947085790391753,-4.28777840069762
"17742399",0.671105397182991,9.01666649209691,3.06135412537504,0.0188671139031217,0.947085790391753,-4.22142445995969
"17787133",-0.67097384064194,6.53939298487231,-3.50508088664302,0.010336270287637,0.947085790391753,-4.16346383167464
"17762893",0.670214339302394,9.06274528423446,2.8575134334428,0.025092977269754,0.947085790391753,-4.25167826786456
"17824990",0.669234511559143,4.04760024431359,2.78152246729069,0.0279423038872789,0.947085790391753,-4.26356578726959
"17614499",0.667782564959878,5.95398087942434,2.59827063627034,0.0363050378089804,0.947085790391753,-4.29360222716559
"17645571",-0.666730344096599,4.12727261864953,-3.53340966699727,0.00995616552591199,0.947085790391753,-4.16011066056488
"17863236",-0.666579742340396,2.93986628115664,-3.82707450428828,0.00679933595530108,0.947085790391753,-4.12760871200563
"17682371",-0.666225909564619,5.29790551642304,-3.3147915324339,0.0133344489820433,0.947085790391753,-4.18704095049598
"17686724",0.665883497211743,10.1019462975117,2.86685177903695,0.0247646077900023,0.947085790391753,-4.25024039440114
"17851514",0.665445398538548,8.38407971945922,2.91057337673135,0.0232865664504321,0.947085790391753,-4.24357499175263
"17735945",0.664436767528757,8.49050546544646,2.64096535565823,0.0341468820254558,0.947085790391753,-4.28643164163102
"17843553",0.663160293646246,10.7028457170714,2.83844022877123,0.0257780421417985,0.947085790391753,-4.25463066270634
"17802931",-0.663150226860786,8.75834855865467,-4.14878829477504,0.00454461352036369,0.947085790391753,-4.09635984225766
"17854295",0.662842450718357,6.63081267677677,2.47789018898708,0.0431884307597617,0.947085790391753,-4.31437763719168
"17741919",-0.661742253226575,6.111416379325,-3.13521824948506,0.0170367915396188,0.947085790391753,-4.21104025371876
"17606815",-0.661689503234412,3.30172833239695,-4.19378771201386,0.00430094914692418,0.947085790391753,-4.09232060235406
"17754308",0.661293278819787,8.43887143355355,2.55777804103832,0.0384834007879993,0.947085790391753,-4.30049909116348
"17789808",-0.661271514024046,10.0664365960708,-3.35887994886881,0.0125645394036813,0.947085790391753,-4.18141211555936
"17787131",-0.66119076728377,6.64417964684127,-2.58985178252156,0.0367471307859888,0.947085790391753,-4.29502847492401
"17677771",0.661125260445738,4.91047227168098,2.54783668698781,0.0390387131243856,0.947085790391753,-4.3022065787341
"17681821",0.66087982693532,6.95626975246749,3.90588700287884,0.00615140750348855,0.947085790391753,-4.11955287274376
"17869479",-0.660369847011681,5.05739348562428,-3.81752707500047,0.0068827633001664,0.947085790391753,-4.12860306961047
"17740971",-0.660251309010508,8.41734015562995,-2.97585853801849,0.0212511028554464,0.947085790391753,-4.2338258373183
"17763724",-0.65942946616669,4.11017793566434,-3.53497192773473,0.00993564928109561,0.947085790391753,-4.15992689577845
"17609755",-0.659112411272861,4.42592701735313,-3.62257941254247,0.00885543105464438,0.947085790391753,-4.14981232782262
"17813849",0.659083520214455,10.1911139764482,3.42861623238887,0.0114429672939743,0.947085790391753,-4.17271507498929
"17613634",0.658710059120731,6.25060578508269,2.5850869871481,0.0369998221631843,0.947085790391753,-4.29583747512087
"17807167",0.658630130718694,7.9490304752734,3.64256351523123,0.00862733375652581,0.947085790391753,-4.14755685549575
"17634598",-0.65704905950861,10.516929773041,-2.41107425881438,0.0475790795408636,0.947085790391753,-4.32625787645004
"17610400",0.656983749547163,6.80552972242323,2.5743946053323,0.0375734775042612,0.947085790391753,-4.29765760758901
"17802265",0.656147848720813,8.01721428435091,2.9891994407716,0.0208589129918698,0.947085790391753,-4.23186348702895
"17745332",-0.655948475310193,7.50704191019029,-2.55499430754212,0.0386380645359709,0.947085790391753,-4.30097664999834
"17750632",-0.655798155093576,6.88172539803625,-2.44343509187376,0.0453978026739722,0.947085790391753,-4.32047329124519
"17727114",-0.654935870535684,9.75185448947204,-2.87561700261048,0.0244605242007523,0.947085790391753,-4.24889533002608
"17846281",-0.654771076372103,6.54474935354251,-2.50396141232034,0.0415907104449366,0.947085790391753,-4.30980903918068
"17798819",0.654168339546247,7.56467236598532,4.01796772892438,0.00534350494948712,0.947085790391753,-4.10855230480696
"17602615",-0.65400124795081,5.1083054205388,-3.57899232874653,0.00937600154091192,0.947085790391753,-4.15479806198799
"17831177",-0.653990558701608,6.43859677310168,-3.49662940151199,0.0104526931775879,0.947085790391753,-4.16447191814169
"17844970",-0.653990558701608,6.43859677310168,-3.49662940151199,0.0104526931775879,0.947085790391753,-4.16447191814169
"17651024",-0.653841486044637,5.48375508957766,-2.4721929753121,0.0435459458698554,0.947085790391753,-4.31538103003753
"17632719",-0.653478358774139,11.8006566293881,-3.17029743086765,0.0162349258267745,0.947085790391753,-4.20621443363835
"17607441",0.653258620923096,3.15584367543913,4.07316859317208,0.00498899771976159,0.947085790391753,-4.10332454662526
"17856844",0.653127296083968,11.7195617421607,2.54697961994171,0.0390869760319931,0.947085790391753,-4.30235404709737
"17798040",0.652995598637927,4.60274880334553,3.29950210381396,0.0136131925551793,0.947085790391753,-4.18901686929656
"17603785",-0.652977823700572,5.655850324686,-2.50286646339762,0.0416565658662472,0.947085790391753,-4.31000014912002
"17771283",0.652508520787908,7.67030284000393,3.04178791132849,0.0193863681874151,0.947085790391753,-4.22422622800997
"17791708",-0.651730033121812,7.70423836895141,-2.67386511307956,0.0325754783957409,0.947085790391753,-4.28097745089215
"17791413",0.651694447070687,5.65187691950773,3.22817180126992,0.0149990887762772,0.947085790391753,-4.19839979225469
"17790487",0.651546639497765,9.82397327250982,2.467445970159,0.0438461680226361,0.947085790391753,-4.31621844792279
"17605925",0.650702595660467,4.21350811292075,3.36540121022899,0.0124547889530171,0.947085790391753,-4.18058816774549
"17881367",-0.650073963513206,9.25510687038741,-3.1721726102703,0.0161932156347572,0.947085790391753,-4.20595836948658
"17678889",0.649631492138026,11.5188697924299,2.56362196212584,0.0381608032942744,0.947085790391753,-4.29949797602846
"17752535",0.649246289209999,7.8906560691478,2.4646032672084,0.044026976287254,0.947085790391753,-4.31672052622612
"17835720",-0.648774078003888,6.82151135588264,-4.19954947054763,0.00427080269600094,0.947085790391753,-4.09180898479846
"17672892",0.647996933098256,10.2756959665485,2.45766076215375,0.0444717933980655,0.947085790391753,-4.31794859131978
"17813490",0.647862106147803,9.49464618121695,4.16236192185116,0.00446955172470724,0.947085790391753,-4.09513327830808
"17739833",0.64782082870493,8.64538821375266,2.42308017185995,0.046757496404202,0.947085790391753,-4.32410511269383
"17694623",0.647742544790995,6.58438705963199,2.37961425889787,0.0498030885866465,0.947085790391753,-4.33193596541241
"17602177",0.646899488474963,6.00368089877272,2.78091492465968,0.0279664124535372,0.947085790391753,-4.26366216951678
"17812605",0.646666828736343,6.88603496366253,2.83747566863107,0.0258132075751704,0.947085790391753,-4.2547805262328
"17862920",-0.646610181517621,11.6797066070146,-4.19815381269726,0.0042780835945248,0.947085790391753,-4.09193279756497
"17779182",-0.646491453516442,2.7945431034066,-3.05800943827679,0.0189548143873796,0.947085790391753,-4.22190187726813
"17602015",-0.646246758835775,2.6959733539701,-3.41444521423295,0.0116618098253724,0.947085790391753,-4.17446212937325
"17766037",0.645775421245897,7.59564985272476,3.49442804973593,0.0104832504228111,0.947085790391753,-4.16473507828953
"17860621",-0.645662713419762,5.95209890663309,-2.41465128599365,0.0473327558525523,0.947085790391753,-4.32561566410073
"17600341",0.645409941172417,3.73792534169099,2.85099032009097,0.0253250818414969,0.947085790391753,-4.25268564212994
"17864353",0.645351972876419,9.66341922970148,2.69253470469003,0.0317175865714711,0.947085790391753,-4.27791006306351
"17765094",0.645009686565016,11.1133592860388,2.461761961301,0.0442084652502229,0.947085790391753,-4.31722280481424
"17606235",-0.64463665911166,5.19901951418376,-3.49490732089487,0.0104765893677923,0.947085790391753,-4.16467776331691
"17792335",0.643829484213455,9.38063620007106,2.60816394999619,0.0357925918349118,0.947085790391753,-4.2919313599598
"17881985",0.643220054734695,6.04830352634332,2.92317289212093,0.0228781938702067,0.947085790391753,-4.24167452646615
"17805031",0.643063595987517,9.04283036757864,2.81487522078914,0.0266518246096976,0.947085790391753,-4.25830730176902
"17727099",-0.642815807475357,6.13098074376335,-3.22111527400981,0.015144216723665,0.947085790391753,-4.19934288005195
"17688127",0.642391372936628,4.49175454933985,2.77861828154837,0.0280577461468518,0.947085790391753,-4.26402670788203
"17774228",0.641870682421948,2.99274911739628,2.86222679632401,0.0249266670196386,0.947085790391753,-4.25095189996292
"17602347",0.641471181128629,2.90700878003807,3.81786533959854,0.00687978844181862,0.947085790391753,-4.12856777062067
"17633587",-0.640728431351993,5.76581824629644,-2.7567003065704,0.0289453485980433,0.947085790391753,-4.26752099535155
"17673283",-0.640204353541987,6.9794445619727,-2.60328962812187,0.0360441191882424,0.947085790391753,-4.29275387834373
"17780630",0.639964515162426,7.92612942910215,4.2772730786163,0.00388609224437519,0.947085790391753,-4.08502875089472
"17607405",-0.639689939350061,5.18515314370535,-3.1663718310077,0.0163226173717013,0.947085790391753,-4.20675111578529
"17604329",-0.639517855450643,5.48257869902501,-2.57903386964631,0.0373234485047418,0.947085790391753,-4.29686708037099
"17783366",0.639205320766729,8.59495814287499,3.33436151562733,0.0129866025481006,0.947085790391753,-4.18452983431909
